"lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"FV2","~","FV1",0.608298728496206,0.0125936393541646,48.3020603805877,0,0.583615648927757,0.632981808064655,0.608298728496206,0.602786005203422
"FV2","~","BMI1",0.00593767875979105,0.00210233388830554,2.82432718837861,0.00473799906833183,0.00181718005523414,0.010058177464348,0.00593767875979105,0.0364232939130216
"FV2","~","PA1",0.00459964008591601,0.00304591731152046,1.51010011615186,0.13101787988065,-0.00137024814455116,0.0105695283163832,0.00459964008591601,0.0197519314739203
"BMI2","~","FV1",-0.0976666121294382,0.0309734497365872,-3.15323649642003,0.00161470932900398,-0.158373458090111,-0.0369597661687656,-0.0976666121294382,-0.0156803275324798
"BMI2","~","BMI1",0.96105708302664,0.0063144533671105,152.199569329692,0,0.948680981845046,0.973433184208234,0.96105708302664,0.955156332312488
"BMI2","~","PA1",-0.00195040667477492,0.00556540191141308,-0.350452079799517,0.725999447338853,-0.0128583939806349,0.00895758063108509,-0.00195040667477492,-0.00135698063279976
"PA2","~","FV1",0.028888369576291,0.0561941970545696,0.514081009970438,0.607195353690364,-0.0812502327908122,0.139026971943394,0.028888369576291,0.00646563506698567
"PA2","~","BMI1",-0.0280611202562621,0.00755318740924129,-3.71513623797146,0.000203094240758039,-0.0428650955468564,-0.0132571449656677,-0.0280611202562621,-0.0388784937106905
"PA2","~","PA1",0.711759330732901,0.029082814836154,24.4735365109186,0,0.654758061084992,0.76876060038081,0.711759330732901,0.690336432883495
"FV3","~","FV2",0.607763526175792,0.0118801453979153,51.1579198586609,0,0.584478869064778,0.631048183286805,0.607763526175792,0.605111488838025
"FV3","~","BMI2",-0.000267398011699002,0.00199143751731725,-0.134273864669992,0.89318601904346,-0.00417054382310267,0.00363574779970467,-0.000267398011699002,-0.00164322178667651
"FV3","~","PA2",0.00302561442153757,0.00276375106520649,1.0947492556865,0.273626503111302,-0.00239123812850137,0.0084424669715765,0.00302561442153757,0.0133374388779995
"BMI3","~","FV2",-0.00470546995387333,0.0295850885024618,-0.159048702980279,0.873630502734031,-0.0626911778981286,0.0532802379903819,-0.00470546995387333,-0.000762894655008086
"BMI3","~","BMI2",0.952358475364066,0.00703952824094736,135.28725828876,0,0.938561253543656,0.966155697184475,0.952358475364066,0.95301396323537
"BMI3","~","PA2",-0.0101988499708817,0.00644626616501926,-1.58213292932673,0.113619227692286,-0.0228332994890786,0.00243559954731517,-0.0101988499708817,-0.00732100773638953
"PA3","~","FV2",0.118335307242612,0.0491084692283167,2.40967208105069,0.0159668643569937,0.0220844762192176,0.214586138266006,0.118335307242612,0.027640178918962
"PA3","~","BMI2",-0.0182670371582792,0.00684147336205657,-2.67004432986465,0.00758412333638558,-0.0316760785491002,-0.00485799576745818,-0.0182670371582792,-0.0263349115882572
"PA3","~","PA2",0.658556504957624,0.0305489535844556,21.5574161365947,0,0.598681656166705,0.718431353748543,0.658556504957624,0.681047881349031
"FV4","~","FV3",0.610609801155218,0.0113297087601854,53.8945717034675,0,0.588403980029927,0.63281562228051,0.610609801155218,0.614651560085088
"FV4","~","BMI3",0.000625075376001355,0.00189515849555512,0.329827493303276,0.741530312121699,-0.0030893670202818,0.00433951777228451,0.000625075376001355,0.00386399722651054
"FV4","~","PA3",0.00671922468715836,0.00280753676815516,2.39328110084684,0.0166984421608953,0.00121655373630226,0.0122218956380145,0.00671922468715836,0.0288309291848213
"BMI4","~","FV3",-0.0943963807098625,0.0260036868568476,-3.6301152690202,0.000283294677859036,-0.145362670414541,-0.0434300910051835,-0.0943963807098625,-0.0152373482757524
"BMI4","~","BMI3",0.968595081922581,0.00515847832334791,187.767597575936,0,0.958484650193788,0.978705513651373,0.968595081922581,0.960142090544084
"BMI4","~","PA3",0.0081486385810232,0.00634765427030713,1.28372438605244,0.199238408698892,-0.00429253517509066,0.0205898123371371,0.0081486385810232,0.00560677805925666
"PA4","~","FV3",0.0719149884095841,0.0523927355044408,1.372613735801,0.1698724594508,-0.0307728862306528,0.174602863049821,0.0719149884095841,0.0159480455265337
"PA4","~","BMI3",-0.0208762443659004,0.00799711339704474,-2.61047247043102,0.00904172490790001,-0.0365502986043909,-0.00520219012740996,-0.0208762443659004,-0.0284301808157934
"PA4","~","PA3",0.690828791097576,0.0265205540453513,26.0488068958224,0,0.63884946031864,0.742808121876513,0.690828791097576,0.653029407796155
"FV5","~","FV4",0.623567569543055,0.0117145503386978,53.2301754240764,0,0.600607472784126,0.646527666301984,0.623567569543055,0.621063000703583
"FV5","~","BMI4",-0.00126401827727443,0.00195929713664183,-0.645138633459608,0.518837349788769,-0.00510417010010486,0.002576133545556,-0.00126401827727443,-0.0078508495864982
"FV5","~","PA4",0.00876256660426253,0.00274708270308595,3.18977167830406,0.0014238523697363,0.00337838344366114,0.0141467497648639,0.00876256660426253,0.0396150888435932
"BMI5","~","FV4",0.00259403936282569,0.0287500683959212,0.0902272414487094,0.928106637064693,-0.0537550592462431,0.0589431379718945,0.00259403936282569,0.000422522884370324
"BMI5","~","BMI4",0.941993707402644,0.0060872845191241,154.747770445628,0,0.930062848981512,0.953924565823775,0.941993707402644,0.956825721953752
"BMI5","~","PA4",0.00370988012599156,0.00557458382627834,0.665499029452809,0.50573136410984,-0.00721610340231347,0.0146358636542966,0.00370988012599156,0.00274290468348923
"PA5","~","FV4",-0.0392923727797951,0.0569084479565646,-0.690448855849751,0.489911962087214,-0.150830881190734,0.0722461356311436,-0.0392923727797951,-0.00893469601747599
"PA5","~","BMI4",-0.0188691517250774,0.00883220153025372,-2.1364041185477,0.0326464886519002,-0.0361799486285742,-0.00155835482158053,-0.0188691517250774,-0.026756855194939
"PA5","~","PA4",0.511119494372039,0.0322726342871867,15.8375510912343,0,0.447866293482921,0.574372695261158,0.511119494372039,0.527559121344499
"FV6","~","FV5",0.587366954821484,0.0122809041596519,47.8276637603965,0,0.563296824970978,0.61143708467199,0.587366954821484,0.59695012594903
"FV6","~","BMI5",-0.00277751559295969,0.00199984909525026,-1.38886258946059,0.164874538359209,-0.0066971477941652,0.00114211660824582,-0.00277751559295969,-0.017260902817702
"FV6","~","PA5",-0.000695076876654548,0.00292399262976918,-0.237714989284846,0.812102157113545,-0.00642599712206269,0.0050358433687536,-0.000695076876654548,-0.00309415446803978
"BMI6","~","FV5",-0.0663986422879032,0.0264276342889055,-2.51247015007233,0.0119889247100664,-0.118195853690754,-0.0146014308850526,-0.0663986422879032,-0.0108059166343596
"BMI6","~","BMI5",0.963781462575395,0.00599431103112738,160.782691717305,0,0.952032828842254,0.975530096308536,0.963781462575395,0.959090182543061
"BMI6","~","PA5",-0.000911135663574414,0.00544744147024563,-0.167259376452434,0.86716596670127,-0.0115879247531458,0.00976565342599695,-0.000911135663574414,-0.000649480432415489
"PA6","~","FV5",0.0897713535264232,0.0545722438870208,1.6450002259807,0.0999697644761448,-0.0171882790476737,0.19673098610052,0.0897713535264232,0.0223044212788248
"PA6","~","BMI5",-0.018356543524849,0.00796252217209928,-2.30536796357949,0.0211459741366191,-0.0339628002082652,-0.0027502868414328,-0.018356543524849,-0.027888333123646
"PA6","~","PA5",0.553695284382634,0.035477516776633,15.6069346078732,0,0.484160629239518,0.62322993952575,0.553695284382634,0.602565999194848
"FV7","~","FV6",0.613042207086666,0.0127256346833164,48.1738021200922,0,0.588100421426952,0.63798399274638,0.613042207086666,0.611722368629436
"FV7","~","BMI6",0.00222165643596437,0.00210347005256459,1.05618638746755,0.290883068652578,-0.0019010691096208,0.00634438198154954,0.00222165643596437,0.0138441727371822
"FV7","~","PA6",0.0118945554451309,0.00315108602814073,3.77474792465414,0.000160169543495847,0.00571854031778768,0.0180705705724741,0.0118945554451309,0.0485498120606226
"BMI7","~","FV6",-0.0206447341785031,0.0298746553735596,-0.691045098942785,0.489537199994824,-0.0791979827612259,0.0379085144042197,-0.0206447341785031,-0.00329907203628392
"BMI7","~","BMI6",0.958372571901014,0.00609447991484894,157.252560561563,0,0.946427610763407,0.97031753303862,0.958372571901014,0.95640756855774
"BMI7","~","PA6",-0.00830564278691343,0.00630864380535087,-1.31654964889106,0.18798962582659,-0.0206703574366929,0.00405907186286598,-0.00830564278691343,-0.00542914079924754
"PA7","~","FV6",0.145548760262385,0.0583779908412835,2.49321290720845,0.0126592912574741,0.0311300007236602,0.25996751980111,0.145548760262385,0.0348931288932358
"PA7","~","BMI6",-0.0220909376067693,0.00842557424716863,-2.6218910377762,0.00874433831967081,-0.038604759680288,-0.00557711553325065,-0.0220909376067693,-0.0330728543374881
"PA7","~","PA6",0.559776673770154,0.0291941061765119,19.1743042374944,0,0.502557277103352,0.616996070436955,0.559776673770154,0.548935798468572
"FV1","~~","BMI1",-0.0510663964614318,0.0467255379956966,-1.09290119818706,0.274437182159767,-0.142646768091255,0.0405139751683913,-0.0510663964614318,-0.0168817969219933
"FV1","~~","PA1",0.153536363413622,0.0319459037762626,4.80613616346352,1.53875120090241e-06,0.0909235425585648,0.216149184268678,0.153536363413622,0.072505593118233
"BMI1","~~","PA1",-1.55733687453409,0.183904530821663,-8.46818111319007,0,-1.91778313153829,-1.1968906175299,-1.55733687453409,-0.118802767626796
"FV2","~~","BMI2",-0.023284524149533,0.0118711312026696,-1.96144105831269,0.0498275943817656,-0.046551513762515,-1.75345365509838e-05,-0.023284524149533,-0.0323480772940615
"FV2","~~","PA2",0.0290127055033687,0.0216961690264775,1.33722711451788,0.181148513775971,-0.0135110043910205,0.0715364153977579,0.0290127055033687,0.0230460898236242
"BMI2","~~","PA2",-0.0535836980357918,0.0564946121054431,-0.948474483474312,0.342887956849796,-0.164311103083021,0.0571437070114372,-0.0535836980357918,-0.0186595264663287
"FV3","~~","BMI3",-0.00389281230784272,0.0125927030758447,-0.309132382809049,0.757220826852695,-0.0285740568045051,0.0207884321888197,-0.00389281230784272,-0.005290820603858
"FV3","~~","PA3",0.0390835581790665,0.0189831733473167,2.05885272519997,0.0395083489985577,0.00187722210604509,0.0762898942520879,0.0390835581790665,0.0315928338901547
"BMI3","~~","PA3",-0.145291940237605,0.0497283301414046,-2.92171363535556,0.00348111444588151,-0.242757676326075,-0.0478262041491341,-0.145291940237605,-0.0507027241722727
"FV4","~~","BMI4",-0.0066003723998284,0.010567422158119,-0.624596263976954,0.532236072333705,-0.0273121392391721,0.0141113944395154,-0.0066003723998284,-0.00965434710468696
"FV4","~~","PA4",0.0363318300529381,0.0211078740516596,1.72124534967469,0.0852063117732855,-0.00503884287852218,0.0777025029843984,0.0363318300529381,0.0272798580418939
"BMI4","~~","PA4",-0.118538664654626,0.0517843201139922,-2.28908411646012,0.0220744655055445,-0.220034067041943,-0.0170432622673079,-0.118538664654626,-0.039923747882396
"FV5","~~","BMI5",-0.00551873352701771,0.0112454068920483,-0.490754454684965,0.623600126753638,-0.0275593260269309,0.0165218589728955,-0.00551873352701771,-0.00794064202085326
"FV5","~~","PA5",0.0157729456773275,0.0215426550941547,0.732172780392665,0.464063115888198,-0.0264498824385841,0.057995773793239,0.0157729456773275,0.0109007514978711
"BMI5","~~","PA5",-0.0633785251075259,0.0547876970090046,-1.15680213930345,0.247353207619608,-0.170760438041068,0.0440033878260159,-0.0633785251075259,-0.0191666703840361
"FV6","~~","BMI6",-0.0386437657950325,0.0117598844344707,-3.28606679856136,0.00101596913792146,-0.0616927157489482,-0.0155948158411169,-0.0386437657950325,-0.0565956609096186
"FV6","~~","PA6",0.0493401343322874,0.0206117035648096,2.39379215682715,0.016675195092426,0.00894193768524475,0.08973833097933,0.0493401343322874,0.0391438054575613
"BMI6","~~","PA6",-0.0173699014442659,0.040096974044601,-0.433197313716115,0.664871430266716,-0.0959585264607212,0.0612187235721893,-0.0173699014442659,-0.00627575755368968
"FV7","~~","BMI7",-0.0206838196096516,0.0114299504888777,-1.80961585352261,0.0703553796978515,-0.0430861109129279,0.00171847169362468,-0.0206838196096516,-0.0298442456018744
"FV7","~~","PA7",0.0323575935442973,0.0201873717610334,1.60286311300589,0.108964879098936,-0.0072089280498492,0.0719241151384437,0.0323575935442973,0.0244350067816259
"BMI7","~~","PA7",-0.0390341633816666,0.0428448368083429,-0.911058748018518,0.362264420395461,-0.123008500449515,0.0449401736861815,-0.0390341633816666,-0.0128234976454126
"FV1","~~","FV1",0.488652665913176,0.00771109910970783,63.3700408931316,0,0.47353918937693,0.503766142449422,0.488652665913176,1
"BMI1","~~","BMI1",18.7254735515656,0.528606008491385,35.424254077261,0,17.689424812911,19.7615222902202,18.7254735515656,1
"PA1","~~","PA1",9.17654520252698,0.52293219271403,17.5482506726169,0,8.15161693845092,10.201473466603,9.17654520252698,1
"FV2","~~","FV2",0.315556993522698,0.00737897754127462,42.7643249701759,0,0.301094463299069,0.330019523746326,0.315556993522698,0.6341179419731
"BMI2","~~","BMI2",1.64195019633465,0.0893489579715755,18.3768253554451,0,1.46682945665418,1.81707093601512,1.64195019633465,0.0866119310146859
"PA2","~~","PA2",5.02231732440536,0.45315603351573,11.082975736725,0,4.13414781933751,5.91048682947322,5.02231732440536,0.514849376155695
"FV3","~~","FV3",0.317640382360452,0.0070417085929459,45.1084247761476,0,0.303838887128652,0.331441877592252,0.317640382360452,0.632746094136988
"BMI3","~~","BMI3",1.70429647984057,0.103560058377111,16.4570830351835,0,1.50132249518456,1.90727046449657,1.70429647984057,0.0900244576822258
"PA3","~~","PA3",4.81809448076362,0.268466277743577,17.9467399826118,0,4.29191024532268,5.34427871620456,4.81809448076362,0.528226954081746
"FV4","~~","FV4",0.306663418310765,0.00670268831598617,45.752301741282,0,0.293526390611834,0.319800446009695,0.306663418310765,0.618993615550705
"BMI4","~~","BMI4",1.52415483712942,0.0828822105814536,18.3894086129802,0,1.36170868943071,1.68660098482814,1.52415483712942,0.0791099215213356
"PA4","~~","PA4",5.78400105768916,0.466693600311207,12.3935726863025,0,4.86929840926387,6.69870370611446,5.78400105768916,0.566628259722251
"FV5","~~","FV5",0.304119817409735,0.00688216317163462,44.18956799269,0,0.290631025457603,0.317608609361867,0.304119817409735,0.608938162283012
"BMI5","~~","BMI5",1.58826473374707,0.0712312672088555,22.2972971839763,0,1.44865401544457,1.72787545204958,1.58826473374707,0.0850539402883354
"PA5","~~","PA5",6.88443043120129,0.591925352493017,11.6305720006857,0,5.72427805877881,8.04458280362378,6.88443043120129,0.71851404854667
"FV6","~~","FV6",0.310958470799559,0.00711233109638709,43.7210341567927,0,0.297018558004516,0.324898383594602,0.310958470799559,0.643113965134438
"BMI6","~~","BMI6",1.4993057932061,0.06809878379315,22.0166309836053,0,1.36583462958055,1.63277695683166,1.4993057932061,0.0795103229710112
"PA6","~~","PA6",5.10942671652042,0.314595779419273,16.2412436872235,0,4.49283031917034,5.7260231138705,5.10942671652042,0.631548950423749
"FV7","~~","FV7",0.301505687159866,0.00716302291870506,42.0919618130124,0,0.287466420218769,0.315544954100963,0.301505687159866,0.620881940281955
"BMI7","~~","BMI7",1.59310633227509,0.0824656620504485,19.3184204511752,0,1.43147660469496,1.75473605985522,1.59310633227509,0.0841386072725514
"PA7","~~","PA7",5.81610173402291,0.449723530930756,12.9326160051839,0,4.93465981039844,6.69754365764737,5.81610173402291,0.691321957726127
"FV2","~1","",0.565177175105755,0.0585493942052367,9.65299782820306,0,0.450422471146853,0.679931879064657,0.565177175105755,0.801181163868822
"BMI2","~1","",1.29581487185179,0.171227710569613,7.56778717382299,3.79696274421804e-14,0.960214725980103,1.63141501772348,1.29581487185179,0.297612954076493
"PA2","~1","",1.15125371219936,0.23476300317573,4.9038975333673,9.39535132138403e-07,0.691126681072468,1.61138074332625,1.15125371219936,0.368603168769593
"FV3","~1","",0.743466095573061,0.055814669787472,13.3202632641918,0,0.63407135298062,0.852860838165502,0.743466095573061,1.04932023907096
"BMI3","~1","",1.37945487048664,0.166437215428592,8.28813956622868,2.22044604925031e-16,1.05324392255946,1.70566581841381,1.37945487048664,0.317040818336433
"PA3","~1","",0.963790253072882,0.205163577327959,4.69766742043224,2.63149461710022e-06,0.561677030570685,1.36590347557508,0.963790253072882,0.319120830155094
"FV4","~1","",0.682229800856229,0.0539065652627288,12.6557831598283,0,0.576574874411023,0.787884727301436,0.682229800856229,0.969265567017197
"BMI4","~1","",1.07839440943953,0.136396327243831,7.90633025999095,2.66453525910038e-15,0.811062520418082,1.34572629846098,1.07839440943953,0.245684953761526
"PA4","~1","",1.04378532059584,0.224008581050222,4.65957739521516,3.16859243398859e-06,0.604736569509481,1.48283407168219,1.04378532059584,0.326697731006116
"FV5","~1","",0.720309901149783,0.0552828158061543,13.029544364663,0,0.611957573205759,0.828662229093807,0.720309901149783,1.01925680594226
"BMI5","~1","",1.47107094159463,0.158044720457259,9.30794105199144,0,1.1613089815517,1.78083290163756,1.47107094159463,0.340423387826896
"PA5","~1","",1.45127741038771,0.287563132134039,5.04681319756679,4.49240191935374e-07,0.887664028123461,2.01489079265196,1.45127741038771,0.468850150275134
"FV6","~1","",0.843901694897247,0.0573830209971746,14.7064703153011,0,0.731433040418679,0.956370349375815,0.843901694897247,1.21362533323178
"BMI6","~1","",1.09919713316995,0.15973777069481,6.88126000750343,5.93258775438699e-12,0.786116855637407,1.4122774107025,1.09919713316995,0.253129193997634
"PA6","~1","",1.10780353558402,0.238843258236497,4.63820307830124,3.51451376312539e-06,0.639679351490285,1.57592771967775,1.10780353558402,0.389475522368255
"FV7","~1","",0.67478643265886,0.0601427023828908,11.2197557795611,0,0.556908902055483,0.792663963262238,0.67478643265886,0.968329363648209
"BMI7","~1","",1.16232646766293,0.164105264416088,7.08281036442473,1.41264777653305e-12,0.840686059733975,1.48396687559189,1.16232646766293,0.26711815410695
"PA7","~1","",1.16600812842992,0.24950527806784,4.67328041097746,2.96426611323675e-06,0.676986769464305,1.65502948739554,1.16600812842992,0.401999725271802
"FV1","~1","",1.9122449720385,0.0104500738773627,182.98865582002,0,1.89176320360308,1.93272674047391,1.9122449720385,2.73554202751222
"BMI1","~1","",25.0717459997366,0.0585164018957812,428.456726447224,0,24.957055959516,25.1864360399572,25.0717459997366,5.79386237059989
"PA1","~1","",2.26924766619004,0.0451110468470397,50.3035913550066,0,2.18083163906494,2.35766369331514,2.26924766619004,0.749104305764283
